contig	prodigal	cds	start	end	nothing	strand	unknown	gene_id	A01_r2_seq.txt	A04_r2_seq.txt	A07_r2_seq.txt	B01_r2_seq.txt	B04_r2_seq.txt	B07_r2_seq.txt	C01_r2_seq.txt	C04_r2_seq.txt	C07_r2_seq.txt	D01_r2_seq.txt	D04_r2_seq.txt	D07_r2_seq.txt	E01_r2_seq.txt	E04_r2_seq.txt	E07_r2_seq.txt	F01_r2_seq.txt	F04_r2_seq.txt	F07_r2_seq.txt	G01_r2_seq.txt	G04_r2_seq.txt	G07_r2_seq.txt	H01_r2_seq.txt	H04_r2_seq.txt	H07_r2_seq.txt	A02_r2_seq.txt	A05_r2_seq.txt	A08_r2_seq.txt	B02_r2_seq.txt	B05_r2_seq.txt	B08_r2_seq.txt	C02_r2_seq.txt	C05_r2_seq.txt	C08_r2_seq.txt	D02_r2_seq.txt	D05_r2_seq.txt	D08_r2_seq.txt	E02_r2_seq.txt	E05_r2_seq.txt	F02_r2_seq.txt	F05_r2_seq.txt	G02_r2_seq.txt	G05_r2_seq.txt	H02_r2_seq.txt	H05_r2_seq.txt	A03_r2_seq.txt	A06_r2_seq.txt	B03_r2_seq.txt	B06_r2_seq.txt	C03_r2_seq.txt	C06_r2_seq.txt	D03_r2_seq.txt	D06_r2_seq.txt	E03_r2_seq.txt	E06_r2_seq.txt	F03_r2_seq.txt	F06_r2_seq.txt	G03_r2_seq.txt	G06_r2_seq.txt	H03_r2_seq.txt	H06_r2_seq.txt
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	873	1220	.	-	0	ID=BJEIHDPM_00001;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00001;product=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	1300	2529	.	-	0	"ID=BJEIHDPM_00002;eC_number=3.5.1.49;Name=fmdA;gene=fmdA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q50228;locus_tag=BJEIHDPM_00002;product=Formamidase"	11	12	15	11	21	25	15	0	12	11	14	22	12	13	26	21	21	19	13	15	18	0	13	23	4	22	24	15	11	17	0	0	0	14	12	14	0	16	24	14	23	15	17	8	9	10	16	13	22	13	15	14	12	13	19	13	20	13	25	20
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	2611	3300	.	-	0	"ID=BJEIHDPM_00003;Name=livF_1;dbxref=COG:COG0410;gene=livF_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P22731;locus_tag=BJEIHDPM_00003;product=High-affinity branched-chain amino acid transport ATP-binding protein LivF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	3311	4072	.	-	0	"ID=BJEIHDPM_00004;Name=livF_2;dbxref=COG:COG0410;gene=livF_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P22731;locus_tag=BJEIHDPM_00004;product=High-affinity branched-chain amino acid transport ATP-binding protein LivF"	5	6	7	4	3	4	4	0	0	1	3	13	2	2	9	5	10	4	5	4	5	0	3	9	3	3	9	5	5	10	0	0	0	4	5	8	0	4	4	8	2	2	2	6	7	2	10	4	3	5	3	5	5	5	4	5	6	6	4	3
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	4069	5232	.	-	0	ID=BJEIHDPM_00005;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00005;product=hypothetical protein	0	2	1	2	0	0	2	0	0	0	0	4	1	3	4	1	0	4	3	1	4	0	1	3	1	0	1	1	3	3	0	0	0	2	0	3	0	2	0	2	0	3	0	1	0	0	2	0	0	0	0	1	3	3	2	3	0	1	4	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	5243	6160	.	-	0	"ID=BJEIHDPM_00006;Name=livH_1;dbxref=COG:COG0559;gene=livH_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEX7;locus_tag=BJEIHDPM_00006;product=High-affinity branched-chain amino acid transport system permease protein LivH"	28	115	56	68	122	179	44	0	18	24	37	122	45	44	145	36	122	120	32	36	65	0	49	130	25	38	50	42	55	292	0	0	0	89	38	220	0	86	43	37	61	33	28	39	24	25	50	47	63	33	168	33	51	38	50	44	36	29	41	48
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	6259	7503	.	-	0	"ID=BJEIHDPM_00007;Name=amiC_1;gene=amiC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27017;locus_tag=BJEIHDPM_00007;product=Aliphatic amidase expression-regulating protein"	6	7	4	6	9	10	9	0	5	11	9	22	10	6	6	12	5	14	9	4	6	0	9	10	9	2	11	6	8	10	0	0	0	9	9	10	0	12	14	5	10	9	13	5	8	8	10	6	9	5	10	11	9	10	6	6	5	10	10	10
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	7657	7851	.	+	0	ID=BJEIHDPM_00008;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00008;product=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	7878	11279	.	+	0	"ID=BJEIHDPM_00009;eC_number=2.7.13.3;Name=rpfC_1;dbxref=COG:COG0642;gene=rpfC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0C0F6;locus_tag=BJEIHDPM_00009;product=Sensory/regulatory protein RpfC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	11254	11925	.	+	0	"ID=BJEIHDPM_00010;eC_number=3.1.4.-;dbxref=COG:COG3437;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HV27;locus_tag=BJEIHDPM_00010;product=Cyclic di-GMP phosphodiesterase"	15	9	20	12	13	7	14	0	6	13	14	22	12	10	14	10	14	24	10	12	17	0	10	15	7	11	16	5	13	23	0	0	0	16	15	18	0	5	16	17	8	7	15	15	15	10	12	8	21	11	15	3	12	11	14	21	10	14	4	12
